Species ID,Legacy ID,Botanical Name,Common Name,Family,Native Status,Plant Type,Life Cycle,Sun,Soil Moisture,Urban Toughness,Evidence Level,Primary References,record_status,evidence_status,poc_caveat
BCNPPD-0018,CDF-0018,Mahonia nervosa,Dull Oregon-grape,Berberidaceae,Native in coastal BC,,Evergreen subshrub,Part shade to shade,Dry to mesic,4,C,SRC-0021;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0019,CDF-0019,Maianthemum dilatatum,False Lily-of-the-Valley,Asparagaceae,Native in coastal BC,,Perennial,Shade to part shade,Moist,3,D,SRC-0022;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0035,CDF-0035,Malus fusca,Pacific Crab Apple,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0053,CDF-0053,Matricaria discoidea,pineapple weed,,Pending review,,,,,,Pending review,SRC-0025;SRC-0035,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0109,CDF-0109,Meadow barley,Hordeum brachyantherum,,Pending review,,,,,,Pending review,SRC-0091,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0110,CDF-0110,Melica harfordii,Harford's Melic,,Pending review,,,,,,Pending review,SRC-0092,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0111,CDF-0111,Mountain sneezeweed,Helenium autumnale,,Pending review,,,,,,Pending review,SRC-0093,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0112,CDF-0112,Mountain sweet-cicely,Osmorhiza berteroi,,Pending review,,,,,,Pending review,SRC-0094,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0113,CDF-0113,Navarretia squarrosa,Skunkweed,,Pending review,,,,,,Pending review,SRC-0095,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0114,CDF-0114,Nodding beggarticks,Bidens cernua,,Pending review,,,,,,Pending review,SRC-0096,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0115,CDF-0115,Nodding onion,Allium cernuum,,Pending review,,,,,,Pending review,SRC-0097,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0036,CDF-0036,Oemleria cerasiformis,Osoberry,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0116,CDF-0116,Olsynium douglasii,Satinflower,,Pending review,,,,,,Pending review,SRC-0098,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0117,CDF-0117,One-sided sedge,Carex unilateralis,,Pending review,,,,,,Pending review,SRC-0099,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0118,CDF-0118,Oval-leaved mitrewort,Pectiantia ovalis,,Pending review,,,,,,Pending review,SRC-0100,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0119,CDF-0119,Pacific sanicle,Sanicula crassicaulis,,Pending review,,,,,,Pending review,SRC-0101,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0120,CDF-0120,Pacific water-parsley,Oenanthe sarmentosa,,Pending review,,,,,,Pending review,SRC-0102,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0121,CDF-0121,Pacific woodrush,Luzula comosa var. comosa,,Pending review,,,,,,Pending review,SRC-0103,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0122,CDF-0122,Perideridia gairdneri,Yampah,,Pending review,,,,,,Pending review,SRC-0104,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0037,CDF-0037,Physocarpus capitatus,Pacific Ninebark,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0123,CDF-0123,Plagiobothrys scouleri,Scouler's Popcornflower,,Pending review,,,,,,Pending review,SRC-0105,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0014,CDF-0014,Plectritis congesta,Sea Blush,Caprifoliaceae,Native in coastal BC,,Annual,Full sun,Vernal moist to summer dry,4,C,SRC-0017;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0124,CDF-0124,Poa secunda,Sandberg's Bluegrass,,Pending review,,,,,,Pending review,SRC-0106,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0125,CDF-0125,Poverty oatgrass,Danthonia spicata,,Pending review,,,,,,Pending review,SRC-0107,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0126,CDF-0126,Prairie woodrush,Luzula subsessilis,,Pending review,,,,,,Pending review,SRC-0108,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0127,CDF-0127,Prunella vulgaris ssp lanceolata,Self-heal,,Pending review,,,,,,Pending review,SRC-0109,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0003,CDF-0003,Prunella vulgaris var. lanceolata,Lanceleaf Self-heal,Lamiaceae,Native variety in BC,,Perennial,Sun to part shade,Mesic,5,C,SRC-0005;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0052,CDF-0052,Pteridium aquilinum,bracken fern,,Pending review,,,,,,Pending review,SRC-0025;SRC-0034,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0128,CDF-0128,Red columbine,Aquilegia formosa,,Pending review,,,,,,Pending review,SRC-0110,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0129,CDF-0129,Red maids,Calandrinia menziesii,,Pending review,,,,,,Pending review,SRC-0111,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0038,CDF-0038,Ribes sanguineum,Red-flowering Currant,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0039,CDF-0039,Rosa nutkana,Nootka Rose,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0040,CDF-0040,Rubus parviflorus,Thimbleberry,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0041,CDF-0041,Rubus spectabilis,Salmonberry,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0042,CDF-0042,Salix discolor,Pussy Willow,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0043,CDF-0043,Sanicula crassicaulis,Pacific Sanicle,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0130,CDF-0130,Sea blush,Plectritis congesta,,Pending review,,,,,,Pending review,SRC-0112,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0131,CDF-0131,Sea thrift,Armeria maritima,,Pending review,,,,,,Pending review,SRC-0113,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0132,CDF-0132,Seacoast angelica,Angelica lucida,,Pending review,,,,,,Pending review,SRC-0114,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0133,CDF-0133,Seaside plantain,Plantago maritima,,Pending review,,,,,,Pending review,SRC-0115,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0134,CDF-0134,Shortspur sea blush,Plectritis brachystemon,,Pending review,,,,,,Pending review,SRC-0116,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0135,CDF-0135,Sidalcea hendersonii,Henderson's Checkermallow,,Pending review,,,,,,Pending review,SRC-0117,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0051,CDF-0051,Sisyrinchium idahoense,Idaho blue-eyed-grass,,Pending review,,,,,,Pending review,SRC-0025;SRC-0033,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0136,CDF-0136,Slender tarweed,Madia gracilis,,Pending review,,,,,,Pending review,SRC-0118,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0137,CDF-0137,Slender-foot sedge,Carex leptopoda,,Pending review,,,,,,Pending review,SRC-0119,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0138,CDF-0138,Slimleaf onion,Allium amplectens,,Pending review,,,,,,Pending review,SRC-0120,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0139,CDF-0139,Slough sedge,Carex obnupta,,Pending review,,,,,,Pending review,SRC-0121,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0140,CDF-0140,Small-flowered alumroot,Heuchera micrantha,,Pending review,,,,,,Pending review,SRC-0122,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0141,CDF-0141,Small-flowered blue-eyed mary,Collinsia parviflora,,Pending review,,,,,,Pending review,SRC-0123,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0142,CDF-0142,Small-flowered bulrush,Scirpus microcarpus,,Pending review,,,,,,Pending review,SRC-0124,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0143,CDF-0143,Small-flowered fiddleneck,Amsinckia menziesii,,Pending review,,,,,,Pending review,SRC-0125,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0144,CDF-0144,Small-flowered lupine,Lupinus polycarpus,,Pending review,,,,,,Pending review,SRC-0126,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0145,CDF-0145,Small-flowered nemophila,Nemophila parviflora,,Pending review,,,,,,Pending review,SRC-0127,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0146,CDF-0146,Soft-stemmed bulrush,Schoenoplectus tabernaemontani,,Pending review,,,,,,Pending review,SRC-0128,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0044,CDF-0044,Solidago lepida,Canada Goldenrod,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0147,CDF-0147,Spike bentgrass,Agrostis exarata,,Pending review,,,,,,Pending review,SRC-0129,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0148,CDF-0148,Spring gold,Lomatium utriculatum,,Pending review,,,,,,Pending review,SRC-0130,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0149,CDF-0149,Stachys chamissonis var cooleyae,Hedge-nettle,,Pending review,,,,,,Pending review,SRC-0131,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0150,CDF-0150,Sticky cinquefoil,Drymocallis glandulosa,,Pending review,,,,,,Pending review,SRC-0132,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0151,CDF-0151,Stinging nettle,Urtica dioica ssp. gracilis,,Pending review,,,,,,Pending review,SRC-0133,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0152,CDF-0152,Straight-beaked buttercup,Ranunculus orthorhynchus,,Pending review,,,,,,Pending review,SRC-0134,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0045,CDF-0045,Symphoricarpos albus,Snowberry,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0046,CDF-0046,Symphyotrichum subspicatum,Douglas' aster,,Pending review,,,,,,Pending review,SRC-0025;SRC-0030,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0006,CDF-0006,Tellima grandiflora,Fringecup,Saxifragaceae,Native in coastal BC,,Perennial,Part shade to shade,Mesic,4,C,SRC-0009;SRC-0004;SRC-0135,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0153,CDF-0153,Thick-headed sedge,Carex pachystachya,,Pending review,,,,,,Pending review,SRC-0136,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0007,CDF-0007,Tiarella trifoliata,Foamflower,Saxifragaceae,Native in coastal BC,,Perennial,Part shade to shade,Mesic to moist,4,C,SRC-0010;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0154,CDF-0154,Tomcat clover,Trifolium willdenovii,,Pending review,,,,,,Pending review,SRC-0137,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0155,CDF-0155,Tower mustard,Turritis glabra,,Pending review,,,,,,Pending review,SRC-0138,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0156,CDF-0156,Triteleia hyacinthina,Fool's Onion,,Pending review,,,,,,Pending review,SRC-0139,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0157,CDF-0157,Tufted hairgrass,Deschampsia cespitosa,,Pending review,,,,,,Pending review,SRC-0140,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0047,CDF-0047,Vaccinium ovalifolium,Oval-leaved Blueberry,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0048,CDF-0048,Vaccinium ovatum,Evergreen Huckleberry,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0158,CDF-0158,Vari-leaved collomia,Collomia heterophylla,,Pending review,,,,,,Pending review,SRC-0141,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0049,CDF-0049,Vicia nigricans,black vetch,,Pending review,,,,,,Pending review,SRC-0025;SRC-0031,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0008,CDF-0008,Viola adunca,Early Blue Violet,Violaceae,Native in BC,,Perennial,Sun to part shade,Dry to mesic,5,C,SRC-0011;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0009,CDF-0009,Viola glabella,Stream Violet,Violaceae,Native in BC,,Perennial,Part shade to shade,Moist,3,C,SRC-0012;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0159,CDF-0159,Western buttercup,Ranunculus occidentalis,,Pending review,,,,,,Pending review,SRC-0142,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0160,CDF-0160,Western fescue,Festuca occidentalis,,Pending review,,,,,,Pending review,SRC-0143,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0161,CDF-0161,Western rush,Juncus occidentalis,,Pending review,,,,,,Pending review,SRC-0144,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0162,CDF-0162,Western yellow cress,Rorippa curvisiliqua,,Pending review,,,,,,Pending review,SRC-0145,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0163,CDF-0163,White fawn lily,Erythronium oregonum,,Pending review,,,,,,Pending review,SRC-0146,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0164,CDF-0164,Woolly sunflower,Eriophyllum lanatum,,Pending review,,,,,,Pending review,SRC-0147,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0165,CDF-0165,Yellow monkey-flower,Erythranthe guttata,,Pending review,,,,,,Pending review,SRC-0148,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0166,CDF-0166,Yellow-eyed grass,Sisyrinchium californicum,,Pending review,,,,,,Pending review,SRC-0149,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
