source_id,source_name,source_tier,citation,url,external_id,review_status,notes
SRC-0001,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Achillea+millefolium,,pending_review,Primary regional plant atlas
SRC-0002,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Candidate source from legacy workbook attribution.,https://satinflower.ca/products/achillea-millefolium,,pending_review,"Use as practitioner source, not sole authority for ecological scoring"
SRC-0003,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Fragaria+virginiana,,pending_review,Primary regional plant atlas
SRC-0004,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Candidate source from legacy workbook attribution.,https://satinflower.ca/,,pending_review,Product/species page to be added when verified
SRC-0005,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Prunella+vulgaris+var.+lanceolata,,pending_review,Primary regional plant atlas
SRC-0006,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Camassia+quamash,,pending_review,Primary regional plant atlas
SRC-0007,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Candidate source from legacy workbook attribution.,https://satinflower.ca/products/camassia-quamash,,pending_review,"Use as practitioner source, not sole authority for ecological scoring"
SRC-0008,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Aquilegia+formosa,,pending_review,Primary regional plant atlas
SRC-0009,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Tellima+grandiflora,,pending_review,Primary regional plant atlas
SRC-0010,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Tiarella+trifoliata,,pending_review,Primary regional plant atlas
SRC-0011,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Viola+adunca,,pending_review,Primary regional plant atlas
SRC-0012,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Viola+glabella,,pending_review,Primary regional plant atlas
SRC-0013,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Dicentra+formosa,,pending_review,Primary regional plant atlas
SRC-0014,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Allium+cernuum,,pending_review,Primary regional plant atlas
SRC-0015,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Eriophyllum+lanatum,,pending_review,Primary regional plant atlas
SRC-0016,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Lomatium+nudicaule,,pending_review,Primary regional plant atlas
SRC-0017,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Plectritis+congesta,,pending_review,Primary regional plant atlas
SRC-0018,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Collinsia+parviflora,,pending_review,Primary regional plant atlas
SRC-0019,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Clinopodium+douglasii,,pending_review,Primary regional plant atlas
SRC-0020,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Arctostaphylos+uva-ursi,,pending_review,Primary regional plant atlas
SRC-0021,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Mahonia+nervosa,,pending_review,Primary regional plant atlas
SRC-0022,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Maianthemum+dilatatum,,pending_review,Primary regional plant atlas
SRC-0023,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Carex+obnupta,,pending_review,Primary regional plant atlas
SRC-0024,Native Plant Network,Tier 2,Native Plant Network. Candidate source from legacy workbook attribution.,https://npn.rngr.net/renderNPNProtocolDetails?selectedProtocolIds=asteraceae-achillea-11,,pending_review,"Yarrow protocol reports 4,700,000 seeds/kg and non-dormant seed"
SRC-0025,User-submitted Vancouver PoC expansion list,Tier 3,"User-submitted Vancouver PoC expansion list, 2026-07-02. Candidate inclusion request only.",,,pending_review,"Traceability source for requested candidate additions; not evidence for identity, native range, pollinator relationships, or planting suitability."
SRC-0026,E-Flora BC,Tier 2,E-Flora BC. Candidate common-name source for Chamaenerion angustifolium.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Chamaenerion+angustifolium,,pending_review,"Common-name support only; not evidence for traits, pollinator relationships, or planting suitability."
SRC-0027,E-Flora BC,Tier 2,E-Flora BC. Candidate common-name source for Claytonia sibirica.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Claytonia+sibirica,,pending_review,"Common-name support only; not evidence for traits, pollinator relationships, or planting suitability."
SRC-0028,E-Flora BC,Tier 2,E-Flora BC. Candidate common-name source for Collinsia grandiflora.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Collinsia+grandiflora,,pending_review,"Common-name support only; not evidence for traits, pollinator relationships, or planting suitability."
SRC-0029,E-Flora BC,Tier 2,E-Flora BC. Candidate common-name source for Grindelia stricta.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Grindelia+stricta,,pending_review,"Common-name support only; not evidence for traits, pollinator relationships, or planting suitability."
SRC-0030,E-Flora BC,Tier 2,E-Flora BC. Candidate common-name source for Symphyotrichum subspicatum.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Symphyotrichum+subspicatum,,pending_review,"Common-name support only; not evidence for traits, pollinator relationships, or planting suitability."
SRC-0031,E-Flora BC,Tier 2,E-Flora BC. Candidate common-name source for Vicia nigricans.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Vicia+nigricans,,pending_review,"Common-name support only; not evidence for traits, pollinator relationships, or planting suitability."
SRC-0032,E-Flora BC,Tier 2,E-Flora BC. Candidate common-name source for Fragaria vesca.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Fragaria+vesca,,pending_review,"Common-name support only; not evidence for traits, pollinator relationships, or planting suitability."
SRC-0033,E-Flora BC,Tier 2,E-Flora BC. Candidate common-name source for Sisyrinchium idahoense.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Sisyrinchium+idahoense,,pending_review,"Common-name support only; not evidence for traits, pollinator relationships, or planting suitability."
SRC-0034,E-Flora BC,Tier 2,E-Flora BC. Candidate common-name source for Pteridium aquilinum.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Pteridium+aquilinum,,pending_review,"Common-name support only; not evidence for traits, pollinator relationships, or planting suitability."
SRC-0035,E-Flora BC,Tier 2,E-Flora BC. Candidate common-name source for Matricaria discoidea.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Matricaria+discoidea,,pending_review,"Common-name support only; not evidence for traits, pollinator relationships, or planting suitability."
SRC-0036,Premier Pacific Seeds,Tier 3,Premier Pacific Seeds. Approved provider observation for Vancouver PoC sandbox.,https://premierpacificseeds.ca/products/,provider:PROV-PREMIER,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0037,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/acmispon-americanus-spanish-clover,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0038,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/melica-subulata,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0039,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/american-winter-cress-barbarea-orthoceras,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0040,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/antennaria-howellii,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0041,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/carex-stipata,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0042,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/lomatium-nudicaule,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0043,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/lathyrus-japonicus,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0044,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/carex-utriculata-beaked-sedge,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0045,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/lupinus-bicolor,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0046,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/elymus-glaucus,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0047,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/sisyrinchium-idahoense,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0048,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/primula-hendersonii,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0049,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/sedum-spathulifolium,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0050,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/symphyotrichum-chilense,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0051,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/bromus-carinatus,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0052,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/danthonia-californica,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0053,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/solidago-lepida,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0054,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/mentha-canadensis,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0055,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/carex-lenticularis-var-lipocarpa,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0056,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/carex-lyngbyei,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0057,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/chamerion-angustifolium,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0058,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/fritillaria-affinis,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0059,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/clarkia-amoena,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0060,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/claytonia-perfoliata,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0061,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/claytonia-sibirica,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0062,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/madia-glomerata,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0063,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/artemisia-suksdorfii,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0064,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/bromus-vulgaris,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0065,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/cow-parsnip-heracleum-maximum,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0066,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/festuca-subuliflora,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0067,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/juncus-ensifolius,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0068,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/toxicoscordion-venenosum,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0069,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/delphinium-menziesii,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0070,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/grindelia-stricta,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0071,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/eriocoma-lemmonii,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0072,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/festuca-roemeri,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0073,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/primula-pauciflora-var-pauciflora,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0074,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/cerastium-arvense,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0075,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/carex-aurea-golden-sedge,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0076,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/potentilla-gracilis-var-gracilis,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0077,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/camassia-leichtlinii,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0078,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/carex-feta,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
