Species ID,Botanical Name,Common Name,Family,Native Status,Life Cycle,Sun,Soil Moisture,Urban Toughness,reviewed_field_count,gap_count,score_readiness,Primary References,candidate_views,provider_data,supplier_count,supplier_statuses,mowability_score,provider_review_status,poc_caveat
BCNPPD-0034,Lupinus bicolor,Lindley's Lupine,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0018,Mahonia nervosa,Dull Oregon-grape,Berberidaceae,Native in coastal BC,Evergreen subshrub,Part shade to shade,Dry to mesic,4,4,5,not_ready,SRC-0021;SRC-0004,Shade,no,0,,,,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0019,Maianthemum dilatatum,False Lily-of-the-Valley,Asparagaceae,Native in coastal BC,Perennial,Shade to part shade,Moist,3,4,5,not_ready,SRC-0022;SRC-0004,Rain Garden;Shade,no,0,,,,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0035,Malus fusca,Pacific Crab Apple,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0053,Matricaria discoidea,pineapple weed,,Pending review,,,,,0,5,not_ready,SRC-0025;SRC-0035,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0109,Meadow barley,Hordeum brachyantherum,,Pending review,,,,,0,5,not_ready,SRC-0091,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0110,Melica harfordii,Harford's Melic,,Pending review,,,,,0,5,not_ready,SRC-0092,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0111,Mountain sneezeweed,Helenium autumnale,,Pending review,,,,,0,5,not_ready,SRC-0093,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0112,Mountain sweet-cicely,Osmorhiza berteroi,,Pending review,,,,,0,5,not_ready,SRC-0094,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0113,Navarretia squarrosa,Skunkweed,,Pending review,,,,,0,5,not_ready,SRC-0095,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0114,Nodding beggarticks,Bidens cernua,,Pending review,,,,,0,5,not_ready,SRC-0096,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0115,Nodding onion,Allium cernuum,,Pending review,,,,,0,5,not_ready,SRC-0097,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0036,Oemleria cerasiformis,Osoberry,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0116,Olsynium douglasii,Satinflower,,Pending review,,,,,0,5,not_ready,SRC-0098,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0117,One-sided sedge,Carex unilateralis,,Pending review,,,,,0,5,not_ready,SRC-0099,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0118,Oval-leaved mitrewort,Pectiantia ovalis,,Pending review,,,,,0,5,not_ready,SRC-0100,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0119,Pacific sanicle,Sanicula crassicaulis,,Pending review,,,,,0,5,not_ready,SRC-0101,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0120,Pacific water-parsley,Oenanthe sarmentosa,,Pending review,,,,,0,5,not_ready,SRC-0102,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0121,Pacific woodrush,Luzula comosa var. comosa,,Pending review,,,,,0,5,not_ready,SRC-0103,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0122,Perideridia gairdneri,Yampah,,Pending review,,,,,0,5,not_ready,SRC-0104,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0037,Physocarpus capitatus,Pacific Ninebark,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0123,Plagiobothrys scouleri,Scouler's Popcornflower,,Pending review,,,,,0,5,not_ready,SRC-0105,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0014,Plectritis congesta,Sea Blush,Caprifoliaceae,Native in coastal BC,Annual,Full sun,Vernal moist to summer dry,4,4,5,not_ready,SRC-0017;SRC-0004,Boulevard;Rain Garden;Dry Sun,no,0,,,,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0124,Poa secunda,Sandberg's Bluegrass,,Pending review,,,,,0,5,not_ready,SRC-0106,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0125,Poverty oatgrass,Danthonia spicata,,Pending review,,,,,0,5,not_ready,SRC-0107,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0126,Prairie woodrush,Luzula subsessilis,,Pending review,,,,,0,5,not_ready,SRC-0108,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0127,Prunella vulgaris ssp lanceolata,Self-heal,,Pending review,,,,,0,5,not_ready,SRC-0109,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0003,Prunella vulgaris var. lanceolata,Lanceleaf Self-heal,Lamiaceae,Native variety in BC,Perennial,Sun to part shade,Mesic,5,4,5,not_ready,SRC-0005;SRC-0004,Boulevard;Shade,no,0,,,,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0052,Pteridium aquilinum,bracken fern,,Pending review,,,,,0,5,not_ready,SRC-0025;SRC-0034,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0128,Red columbine,Aquilegia formosa,,Pending review,,,,,0,5,not_ready,SRC-0110,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0129,Red maids,Calandrinia menziesii,,Pending review,,,,,0,5,not_ready,SRC-0111,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0038,Ribes sanguineum,Red-flowering Currant,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0039,Rosa nutkana,Nootka Rose,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0040,Rubus parviflorus,Thimbleberry,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0041,Rubus spectabilis,Salmonberry,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0042,Salix discolor,Pussy Willow,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0043,Sanicula crassicaulis,Pacific Sanicle,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0130,Sea blush,Plectritis congesta,,Pending review,,,,,0,5,not_ready,SRC-0112,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0131,Sea thrift,Armeria maritima,,Pending review,,,,,0,5,not_ready,SRC-0113,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0132,Seacoast angelica,Angelica lucida,,Pending review,,,,,0,5,not_ready,SRC-0114,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0133,Seaside plantain,Plantago maritima,,Pending review,,,,,0,5,not_ready,SRC-0115,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0134,Shortspur sea blush,Plectritis brachystemon,,Pending review,,,,,0,5,not_ready,SRC-0116,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0135,Sidalcea hendersonii,Henderson's Checkermallow,,Pending review,,,,,0,5,not_ready,SRC-0117,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0051,Sisyrinchium idahoense,Idaho blue-eyed-grass,,Pending review,,,,,0,5,not_ready,SRC-0025;SRC-0033,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0136,Slender tarweed,Madia gracilis,,Pending review,,,,,0,5,not_ready,SRC-0118,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0137,Slender-foot sedge,Carex leptopoda,,Pending review,,,,,0,5,not_ready,SRC-0119,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0138,Slimleaf onion,Allium amplectens,,Pending review,,,,,0,5,not_ready,SRC-0120,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0139,Slough sedge,Carex obnupta,,Pending review,,,,,0,5,not_ready,SRC-0121,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0140,Small-flowered alumroot,Heuchera micrantha,,Pending review,,,,,0,5,not_ready,SRC-0122,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0141,Small-flowered blue-eyed mary,Collinsia parviflora,,Pending review,,,,,0,5,not_ready,SRC-0123,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0142,Small-flowered bulrush,Scirpus microcarpus,,Pending review,,,,,0,5,not_ready,SRC-0124,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0143,Small-flowered fiddleneck,Amsinckia menziesii,,Pending review,,,,,0,5,not_ready,SRC-0125,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0144,Small-flowered lupine,Lupinus polycarpus,,Pending review,,,,,0,5,not_ready,SRC-0126,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0145,Small-flowered nemophila,Nemophila parviflora,,Pending review,,,,,0,5,not_ready,SRC-0127,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0146,Soft-stemmed bulrush,Schoenoplectus tabernaemontani,,Pending review,,,,,0,5,not_ready,SRC-0128,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0044,Solidago lepida,Canada Goldenrod,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0147,Spike bentgrass,Agrostis exarata,,Pending review,,,,,0,5,not_ready,SRC-0129,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0148,Spring gold,Lomatium utriculatum,,Pending review,,,,,0,5,not_ready,SRC-0130,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0149,Stachys chamissonis var cooleyae,Hedge-nettle,,Pending review,,,,,0,5,not_ready,SRC-0131,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0150,Sticky cinquefoil,Drymocallis glandulosa,,Pending review,,,,,0,5,not_ready,SRC-0132,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0151,Stinging nettle,Urtica dioica ssp. gracilis,,Pending review,,,,,0,5,not_ready,SRC-0133,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0152,Straight-beaked buttercup,Ranunculus orthorhynchus,,Pending review,,,,,0,5,not_ready,SRC-0134,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0045,Symphoricarpos albus,Snowberry,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0046,Symphyotrichum subspicatum,Douglas' aster,,Pending review,,,,,0,5,not_ready,SRC-0025;SRC-0030,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0006,Tellima grandiflora,Fringecup,Saxifragaceae,Native in coastal BC,Perennial,Part shade to shade,Mesic,4,4,5,not_ready,SRC-0009;SRC-0004;SRC-0135,Shade,yes,1,available,,pending_review,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0153,Thick-headed sedge,Carex pachystachya,,Pending review,,,,,0,5,not_ready,SRC-0136,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0007,Tiarella trifoliata,Foamflower,Saxifragaceae,Native in coastal BC,Perennial,Part shade to shade,Mesic to moist,4,4,5,not_ready,SRC-0010;SRC-0004,Rain Garden;Shade,no,0,,,,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0154,Tomcat clover,Trifolium willdenovii,,Pending review,,,,,0,5,not_ready,SRC-0137,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0155,Tower mustard,Turritis glabra,,Pending review,,,,,0,5,not_ready,SRC-0138,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0156,Triteleia hyacinthina,Fool's Onion,,Pending review,,,,,0,5,not_ready,SRC-0139,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0157,Tufted hairgrass,Deschampsia cespitosa,,Pending review,,,,,0,5,not_ready,SRC-0140,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0047,Vaccinium ovalifolium,Oval-leaved Blueberry,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0048,Vaccinium ovatum,Evergreen Huckleberry,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0158,Vari-leaved collomia,Collomia heterophylla,,Pending review,,,,,0,5,not_ready,SRC-0141,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0049,Vicia nigricans,black vetch,,Pending review,,,,,0,5,not_ready,SRC-0025;SRC-0031,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0008,Viola adunca,Early Blue Violet,Violaceae,Native in BC,Perennial,Sun to part shade,Dry to mesic,5,4,5,not_ready,SRC-0011;SRC-0004,Boulevard;Dry Sun;Shade,no,0,,,,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0009,Viola glabella,Stream Violet,Violaceae,Native in BC,Perennial,Part shade to shade,Moist,3,4,5,not_ready,SRC-0012;SRC-0004,Rain Garden;Shade,no,0,,,,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0159,Western buttercup,Ranunculus occidentalis,,Pending review,,,,,0,5,not_ready,SRC-0142,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0160,Western fescue,Festuca occidentalis,,Pending review,,,,,0,5,not_ready,SRC-0143,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0161,Western rush,Juncus occidentalis,,Pending review,,,,,0,5,not_ready,SRC-0144,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0162,Western yellow cress,Rorippa curvisiliqua,,Pending review,,,,,0,5,not_ready,SRC-0145,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0163,White fawn lily,Erythronium oregonum,,Pending review,,,,,0,5,not_ready,SRC-0146,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0164,Woolly sunflower,Eriophyllum lanatum,,Pending review,,,,,0,5,not_ready,SRC-0147,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0165,Yellow monkey-flower,Erythranthe guttata,,Pending review,,,,,0,5,not_ready,SRC-0148,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0166,Yellow-eyed grass,Sisyrinchium californicum,,Pending review,,,,,0,5,not_ready,SRC-0149,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
