use_case,species_id,botanical_name,common_name,candidate_status,candidate_reason,evidence_caveat,gap_count,score_readiness
boulevard,BCNPPD-0001,Achillea millefolium,Common Yarrow,candidate,Candidate because urban toughness is at least 4 and sun exposure includes sun.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
dry_sun,BCNPPD-0001,Achillea millefolium,Common Yarrow,candidate,Candidate because sun exposure includes sun and soil moisture includes dry.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0001,Achillea millefolium,Common Yarrow,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0055,Acmispon americanus,Spanish-clover,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0056,Alaska oniongrass,Melica subulata,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
boulevard,BCNPPD-0011,Allium cernuum,Nodding Onion,candidate,Candidate because urban toughness is at least 4 and sun exposure includes sun.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
dry_sun,BCNPPD-0011,Allium cernuum,Nodding Onion,candidate,Candidate because sun exposure includes sun and soil moisture includes dry.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0011,Allium cernuum,Nodding Onion,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0057,American winter cress,Barbarea orthoceras,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0021,Anaphalis margaritacea,Pearly Everlasting,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0058,Antennaria howellii,Howell's Pussytoes,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
boulevard,BCNPPD-0005,Aquilegia formosa,Red Columbine,candidate,Candidate because urban toughness is at least 4 and sun exposure includes sun.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
shade,BCNPPD-0005,Aquilegia formosa,Red Columbine,candidate,Candidate because sun exposure includes shade.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0005,Aquilegia formosa,Red Columbine,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
boulevard,BCNPPD-0017,Arctostaphylos uva-ursi,Kinnikinnick,candidate,Candidate because urban toughness is at least 4 and sun exposure includes sun.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
dry_sun,BCNPPD-0017,Arctostaphylos uva-ursi,Kinnikinnick,candidate,Candidate because sun exposure includes sun and soil moisture includes dry.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0017,Arctostaphylos uva-ursi,Kinnikinnick,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0059,Awl-fruited sedge,Carex stipata,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0060,Barestem desert-parsley,Lomatium nudicaule,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0061,Beach pea,Lathyrus japonicus,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0062,Beaked sedge,Carex utriculata,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0063,Bicoloured lupine,Lupinus bicolor,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0064,Blue wildrye,Elymus glaucus,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0065,Blue-eyed grass,Sisyrinchium idahoense,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0066,Broad-leaved shootingstar,Primula hendersonii,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0067,Broad-leaved stonecrop,Sedum spathulifolium,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0068,California aster,Symphyotrichum chilense,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0069,California brome,Bromus carinatus,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0070,California oatgrass,Danthonia californica,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
boulevard,BCNPPD-0004,Camassia quamash,Common Camas,candidate,Candidate because urban toughness is at least 4 and sun exposure includes sun.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
rain_garden,BCNPPD-0004,Camassia quamash,Common Camas,candidate,"Candidate because soil moisture text includes moist, wet, or seasonal wetness.",Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
dry_sun,BCNPPD-0004,Camassia quamash,Common Camas,candidate,Candidate because sun exposure includes sun and soil moisture includes dry.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0004,Camassia quamash,Common Camas,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0071,Canada goldenrod,Solidago lepida,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0072,Canada mint,Mentha canadensis,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0073,Carex lenticularis var lipocarpa,Kellogg's Sedge,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0074,Carex lyngbyei,Lyngbye's Sedge,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
rain_garden,BCNPPD-0020,Carex obnupta,Slough Sedge,candidate,"Candidate because soil moisture text includes moist, wet, or seasonal wetness.",Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
shade,BCNPPD-0020,Carex obnupta,Slough Sedge,candidate,Candidate because sun exposure includes shade.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0020,Carex obnupta,Slough Sedge,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0022,Chamaenerion angustifolium,fireweed,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0075,Chamerion angustifolium ssp angustifolium,Fireweed,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0076,Chocolate lily,Fritillaria affinis,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0077,Clarkia amoena,Farewell-to-Spring,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0078,Claytonia perfoliata,Miner's Lettuce,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0023,Claytonia sibirica,Siberian miner's-lettuce,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
shade,BCNPPD-0016,Clinopodium douglasii,Yerba Buena,candidate,Candidate because sun exposure includes shade.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0016,Clinopodium douglasii,Yerba Buena,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0079,Clustered tarweed,Madia glomerata,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0080,Coastal mugwort,Artemisia suksdorfii,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0024,Collinsia grandiflora,large-flowered blue-eyed Mary,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
boulevard,BCNPPD-0015,Collinsia parviflora,Small-flowered Blue-eyed Mary,candidate,Candidate because urban toughness is at least 4 and sun exposure includes sun.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
dry_sun,BCNPPD-0015,Collinsia parviflora,Small-flowered Blue-eyed Mary,candidate,Candidate because sun exposure includes sun and soil moisture includes dry.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
shade,BCNPPD-0015,Collinsia parviflora,Small-flowered Blue-eyed Mary,candidate,Candidate because sun exposure includes shade.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0015,Collinsia parviflora,Small-flowered Blue-eyed Mary,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0081,Columbia brome,Bromus vulgaris,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0082,Common camas,Camassia quamash ssp. maxima,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0025,Cornus sericea,Red Osier Dogwood,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0083,Cow parsnip,Heracleum maximum,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0084,Crinkle-awned fescue,Festuca subuliflora,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0085,Dagger-leaf rush,Juncus ensifolius,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0086,Death camas,Toxicoscordion venenosum,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0087,Delphinium menziesii,Menzies' Larkspur,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
rain_garden,BCNPPD-0010,Dicentra formosa,Pacific Bleeding Heart,candidate,"Candidate because soil moisture text includes moist, wet, or seasonal wetness.",Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
shade,BCNPPD-0010,Dicentra formosa,Pacific Bleeding Heart,candidate,Candidate because sun exposure includes shade.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0010,Dicentra formosa,Pacific Bleeding Heart,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0088,Entire-leaved gumweed,Grindelia stricta,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0026,Erigeron philadelphicus,Philadelphia Fleabane,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0089,Eriocoma lemmonii,Lemmon's Needle Grass,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
boulevard,BCNPPD-0012,Eriophyllum lanatum,Oregon Sunshine,candidate,Candidate because urban toughness is at least 4 and sun exposure includes sun.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
dry_sun,BCNPPD-0012,Eriophyllum lanatum,Oregon Sunshine,candidate,Candidate because sun exposure includes sun and soil moisture includes dry.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0012,Eriophyllum lanatum,Oregon Sunshine,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0090,Festuca roemeri,Roemer's Fescue,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0054,Festuca rubra,red fescue,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0091,Few-flowered shootingstar,Primula pauciflora var. pauciflora,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0092,Field chickweed,Cerastium arvense,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0027,Fragaria chiloensis,Coastal Strawberry,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0050,Fragaria vesca,wood strawberry,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
boulevard,BCNPPD-0002,Fragaria virginiana,Wild Strawberry,candidate,Candidate because urban toughness is at least 4 and sun exposure includes sun.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
dry_sun,BCNPPD-0002,Fragaria virginiana,Wild Strawberry,candidate,Candidate because sun exposure includes sun and soil moisture includes dry.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
shade,BCNPPD-0002,Fragaria virginiana,Wild Strawberry,candidate,Candidate because sun exposure includes shade.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0002,Fragaria virginiana,Wild Strawberry,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0028,Gaultheria shallon,Salal,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0029,Geum macrophyllum,Large-leaved Avens,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0093,Golden sedge,Carex aurea,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0094,Graceful cinquefoil,Potentilla gracilis var. gracilis,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0095,Great camas,Camassia leichtlinii ssp. suksdorfii,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0096,Green-sheathed sedge,Carex feta,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0030,Grindelia stricta,Oregon gumweed,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0097,Hairy gumweed,Grindelia hirsutula,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0098,Hare sedge,Carex ovalis,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0099,Harvest brodiaea,Brodiaea coronaria,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0031,Holodiscus discolor,Ocean Spray,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0100,Hypericum scouleri,Western St. John's-wort,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0101,Inflated sedge,Carex exsiccata,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0102,Jointed rush,Juncus articulatus,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0103,Juncus bolanderi,Bolander's Rush,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0104,Koeleria macrantha,Junegrass,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0105,Large-flowered agoseris,Agoseris grandiflora,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0106,Large-flowered collomia,Collomia grandiflora,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0107,Large-leaved avens,Geum macrophyllum,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0108,Large-leaved lupine,Lupinus polyphyllus ssp. pallidipes,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0032,Lathyrus japonicus,Beach Pea,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
